,       "\u3001"
-       "\u30FC"
.       "\u3002"
[       "\u300C"
]       "\u300D"
a       "\u3042"
ba      "\u3070"
bb      "\u3063"
be      "\u3079"
bi      "\u3073"
bo      "\u307C"
bu      "\u3076"
bya     "\u3073\u3083"
byo     "\u3073\u3087"
byu     "\u3073\u3085"
da      "\u3060"
de      "\u3067"
di      "\u3062"
do      "\u3069"
du      "\u3065"
dya     "\u3062\u3083"
dyo     "\u3062\u3087"
dyu     "\u3062\u3085"
ba      "\u3070"
bb      "\u3063"
be      "\u3079"
bi      "\u3073"
bo      "\u307C"
bu      "\u3076"
bya     "\u3073\u3083"
byo     "\u3073\u3087"
byu     "\u3073\u3085"
da      "\u3060"
de      "\u3067"
di      "\u3062"
do      "\u3069"
du      "\u3065"
dya     "\u3062\u3083"
dyo     "\u3062\u3087"
dyu     "\u3062\u3085"
dd      strftime('%Y-%m-%d')
dt      strftime('%Y-%m-%dT%H:%M:%S')
e       "\u3048"
fa      "\u3075\u3041"
fe      "\u3075\u3047"
fi      "\u3075\u3043"
fo      "\u3075\u3049"
fu      "\u3075"
fya     "\u3075\u3083"
fyo     "\u3075\u3087"
fyu     "\u3075\u3085"
ga      "\u304C"
ge      "\u3052"
gi      "\u304E"
go      "\u3054"
gu      "\u3050"
gya     "\u304E\u3083"
gyo     "\u304E\u3087"
gyu     "\u304E\u3085"
ha      "\u306F"
he      "\u3078"
hi      "\u3072"
ho      "\u307B"
hu      "\u3075"
hya     "\u3072\u3083"
hyo     "\u3072\u3087"
hyu     "\u3072\u3085"
i       "\u3044"
ja      "\u3058\u3083"
je      "\u3058\u3047"
ji      "\u3058"
jo      "\u3058\u3087"
ju      "\u3058\u3085"
jya     "\u3058\u3083"
jyo     "\u3058\u3087"
jyu     "\u3058\u3085"
ka      "\u304B"
ke      "\u3051"
ki      "\u304D"
ko      "\u3053"
ku      "\u304F"
kya     "\u304D\u3083"
kyo     "\u304D\u3087"
kyu     "\u304D\u3085"
ma      "\u307E"
me      "\u3081"
mi      "\u307F"
mo      "\u3082"
mu      "\u3080"
mya     "\u307F\u3083"
myo     "\u307F\u3087"
myu     "\u307F\u3085"
n       "\u3093"
na      "\u306A"
ne      "\u306D"
ni      "\u306B"
nn      "\u3093"
no      "\u306E"
nu      "\u306C"
nya     "\u306B\u3083"
nyo     "\u306B\u3087"
nyu     "\u306B\u3085"
o       "\u304A"
pa      "\u3071"
pe      "\u307A"
pi      "\u3074"
po      "\u307D"
pu      "\u3077"
ra      "\u3089"
re      "\u308C"
ri      "\u308A"
ro      "\u308D"
ru      "\u308B"
rya     "\u308A\u3083"
ryo     "\u308A\u3087"
ryu     "\u308A\u3085"
sa      "\u3055"
se      "\u305B"
si      "\u3057"
so      "\u305D"
su      "\u3059"
sya     "\u3057\u3083"
syo     "\u3057\u3087"
syu     "\u3057\u3085"
ta      "\u305F"
te      "\u3066"
ti      "\u3061"
to      "\u3068"
tu      "\u3064"
tya     "\u3061\u3083"
tyo     "\u3061\u3087"
tyu     "\u3061\u3085"
u       "\u3046"
va      "\u3094\u3041"
ve      "\u3094\u3047"
vi      "\u3094\u3043"
vo      "\u3094\u3049"
vu      "\u3094"
vya     "\u3094\u3083"
vyo     "\u3094\u3087"
vyu     "\u3094\u3085"
wa      "\u308F"
we      "\u3046\u3047"
wi      "\u3046\u3043"
wo      "\u3092"
wu      "\u3046"
wya     "\u3046\u3083"
wyo     "\u3046\u3087"
wyu     "\u3046\u3085"
xa      "\u3041"
xe      "\u3047"
xi      "\u3043"
xo      "\u3049"
xu      "\u3045"
xya     "\u3083"
xyo     "\u3087"
xyu     "\u3085"
ya      "\u3084"
ye      "\u3044\u3047"
yi      "\u3044"
yo      "\u3088"
yu      "\u3086"
z-      "\u301C"
z.      "\u2026"
z/      "\u30FB"
z[      "\u300E"
z]      "\u300F"
za      "\u3056"
ze      "\u305C"
zh      "\u2190"
zi      "\u3058"
zj      "\u2193"
zk      "\u2191"
zl      "\u2192"
zo      "\u305E"
zu      "\u305A"
zya     "\u3058\u3083"
zyo     "\u3058\u3087"
zyu     "\u3058\u3085"
~       "\u301C"
e       "\u3048"
fa      "\u3075\u3041"
fe      "\u3075\u3047"
fi      "\u3075\u3043"
fo      "\u3075\u3049"
fu      "\u3075"
fya     "\u3075\u3083"
fyo     "\u3075\u3087"
fyu     "\u3075\u3085"
ga      "\u304C"
ge      "\u3052"
gi      "\u304E"
go      "\u3054"
gu      "\u3050"
gya     "\u304E\u3083"
gyo     "\u304E\u3087"
gyu     "\u304E\u3085"
ha      "\u306F"
he      "\u3078"
hi      "\u3072"
ho      "\u307B"
hu      "\u3075"
hya     "\u3072\u3083"
hyo     "\u3072\u3087"
hyu     "\u3072\u3085"
i       "\u3044"
ja      "\u3058\u3083"
je      "\u3058\u3047"
ji      "\u3058"
jo      "\u3058\u3087"
ju      "\u3058\u3085"
jya     "\u3058\u3083"
jyo     "\u3058\u3087"
jyu     "\u3058\u3085"
ka      "\u304B"
ke      "\u3051"
ki      "\u304D"
ko      "\u3053"
ku      "\u304F"
kya     "\u304D\u3083"
kyo     "\u304D\u3087"
kyu     "\u304D\u3085"
ma      "\u307E"
me      "\u3081"
mi      "\u307F"
mo      "\u3082"
mu      "\u3080"
mya     "\u307F\u3083"
myo     "\u307F\u3087"
myu     "\u307F\u3085"
n       "\u3093"
na      "\u306A"
ne      "\u306D"
ni      "\u306B"
nn      "\u3093"
no      "\u306E"
nu      "\u306C"
nya     "\u306B\u3083"
nyo     "\u306B\u3087"
nyu     "\u306B\u3085"
o       "\u304A"
pa      "\u3071"
pe      "\u307A"
pi      "\u3074"
po      "\u307D"
pu      "\u3077"
ra      "\u3089"
re      "\u308C"
ri      "\u308A"
ro      "\u308D"
ru      "\u308B"
rya     "\u308A\u3083"
ryo     "\u308A\u3087"
ryu     "\u308A\u3085"
sa      "\u3055"
se      "\u305B"
si      "\u3057"
so      "\u305D"
su      "\u3059"
sya     "\u3057\u3083"
syo     "\u3057\u3087"
syu     "\u3057\u3085"
ta      "\u305F"
te      "\u3066"
ti      "\u3061"
to      "\u3068"
tu      "\u3064"
tya     "\u3061\u3083"
tyo     "\u3061\u3087"
tyu     "\u3061\u3085"
u       "\u3046"
va      "\u3094\u3041"
ve      "\u3094\u3047"
vi      "\u3094\u3043"
vo      "\u3094\u3049"
vu      "\u3094"
vya     "\u3094\u3083"
vyo     "\u3094\u3087"
vyu     "\u3094\u3085"
wa      "\u308F"
we      "\u3046\u3047"
wi      "\u3046\u3043"
wo      "\u3092"
wu      "\u3046"
wya     "\u3046\u3083"
wyo     "\u3046\u3087"
wyu     "\u3046\u3085"
xa      "\u3041"
xe      "\u3047"
xi      "\u3043"
xo      "\u3049"
xu      "\u3045"
xya     "\u3083"
xyo     "\u3087"
xyu     "\u3085"
ya      "\u3084"
ye      "\u3044\u3047"
yi      "\u3044"
yo      "\u3088"
yu      "\u3086"
z-      "\u301C"
z.      "\u2026"
z/      "\u30FB"
z[      "\u300E"
z]      "\u300F"
za      "\u3056"
ze      "\u305C"
zd      strftime('%Y-%m-%d')
zh      "\u2190"
zi      "\u3058"
zj      "\u2193"
zk      "\u2191"
zl      "\u2192"
zo      "\u305E"
zu      "\u305A"
zt      strftime('%Y-%m-%dT%H:%M:%S')
zya     "\u3058\u3083"
zyo     "\u3058\u3087"
zyu     "\u3058\u3085"
~       "\u301C"
